2024-04-17 13:09:09,066 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:09:17,252 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:09:24,995 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:09:32,752 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:09:40,853 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:09:48,674 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:09:56,646 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:10:04,666 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:10:12,535 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:10:20,535 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:10:28,471 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:10:36,325 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:10:44,296 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:10:52,716 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:11:00,971 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:11:08,997 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:11:17,414 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:11:25,224 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:11:33,137 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:11:41,049 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:11:48,917 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:11:56,810 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:12:04,585 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
2024-04-17 13:12:12,514 - INFO - Searching... (2 guests, 1 room, 2024-07-31 - 2024-08-04, downtown)
